Physiology_Output1,Physiology_Output2,Physiology_Output3,Physiology_Output4,Physiology_Output5,Physiology_Output6,Physiology_Output7,Physiology_Output8,Physiology_Output9,Physiology_Output10,Physiology_Output11,Physiology_Output12,Physiology_Output13,Physiology_Output14,Physiology_Output15,Physiology_Output16,Physiology_Output17,Physiology_Output18,Physiology_Output19,Physiology_Output20,Physiology_Output21
filename,expan_rate,R2,RMSE,# of obs,LeafT,gm,Vcmax,Rd,Jmax,TPU,gm_25,Vcmax_25,Rd_25,Jmax_25,TPU_25,gm_scale,Vcmax_scale,Rd_scale,Jmax_scale,TPU_scale
ACI_curve10_10172012-tnf-tr9-aci-b2.csv,1,0.997450999779252,0.123384456724249,8,32.8525,1.02112778390129,28.1688573328127,1.48026031274806,76.9754186599053,19.9568179748176,0.628554430567969,14.3276433300188,0.915330385339193,48.8651615389142,14.6293345290761,1.62456540633813,1.96604959266359,1.61718690481308,1.57526172503503,1.36416444200883
ACI_curve10_11252012-tnf-tr9-curves-b2_2.csv,1,0.994932805248603,0.181373438065424,14,32.7335714285714,29.9403959933834,14.2010302800819,0.868071475376154,31.2360279835764,8.9456719973284,18.5360388125609,7.2956066816352,0.540597742132065,19.962584892473,6.56237250923509,1.6152531992485,1.9465180758482,1.60576230295111,1.56472862366407,1.36317650129421
ACI_curve10_11262012-tnf-tr9-curves-hux1.csv,1,0.998255524473914,0.113874162249547,13,31.5492307692308,0.337505842987644,15.4249918866948,2.73257169532368,42.355933229039,19.7327946848854,0.222491160493189,8.75651259117677,1.82676637444254,28.9477704413741,14.7125783236154,1.51694045839622,1.76154510441033,1.49585175945531,1.46318464542267,1.34121934652419
ACI_curve10_11292012-tnf-tr504-curves-hux1_2.csv,1,0.998197380328117,0.257980159275089,14,40.4857142857143,29.9206726294997,72.0628035638556,1.70301499596151,84.9313536100749,18.3106235140559,32.4248997950317,19.6198367995319,0.675655716252022,35.4264411812487,19.6161787028164,0.922768391533607,3.67295631967617,2.52053665054213,2.39740009942148,0.933444978834073
ACI_curve11_10182012-tnf-tr500-sun-aci-b2.csv,1,0.987942659803959,0.18391734790492,13,32.4892307692308,29.9960292914012,17.0185605958789,3.00624848372071,99.24005903605,16.6825262744569,18.7980450170803,8.92449006703509,1.89966448420863,64.3044950195314,12.262818475776,1.59569940725996,1.90695047762352,1.58251549613671,1.54328338953455,1.36041533252829
ACI_curve12_10182012-tnf-tr500-sun-aci-hux1.csv,1,0.989274788925144,0.130942160287534,13,31.1592307692308,29.1423149941247,13.0970828052831,2.85853169934042,24.7606974415129,5.49138721293816,19.645570966151,7.68483496770566,1.95635139209652,17.3025082467255,4.13002315120103,1.48340381882188,1.70427639114197,1.46115453025905,1.43104670654897,1.32962625435677
ACI_curve1_08212013_tnf_tr500_curves.csv,1,0.942107154862797,0.955179798405853,15,30.398,0.634726477448724,24.1348361663101,3.21602172321414,73.4538230740407,19.6585494260935,0.44769782162147,15.1087060277165,2.30458413918614,53.611561503744,15.1017519526811,1.41775645713413,1.59741251977737,1.39548895982156,1.37011161424408,1.30173965826551
ACI_curve1_08262013-tnf-tr500-hux1.csv,1,0.912234739992289,1.28197400485534,14,30.2128571428571,29.9988984766927,25.7993870687539,3.31485379049083,74.5870164803806,22.9054957231531,21.3992679904906,16.4079214544053,2.40220501144612,55.019656194496,17.7010399194034,1.40186563811545,1.57237387687683,1.37992127012311,1.35564308538595,1.29401977665983
ACI_curve1_08272012_tnf_tr500_curves.csv,1,0.997784369791555,0.263493991536033,12,30.495,27.7608162159333,71.4473786323089,0.841346227800494,81.5599919495679,4.92526038597958,19.4662319622233,44.3585972409808,0.599374319401783,59.1981172632558,3.77227663871357,1.42610117200939,1.61067714211445,1.40370750058197,1.37774638316398,1.30564665789177
ACI_curve1_08272013-tnf-hux1.csv,1,0.975449329888488,1.50309083254902,17,30.0247058823529,7.57148492034259,129.311398260719,2.57487049742674,146.720353237873,8.86322694868442,5.4637109099685,83.5722946207808,1.8873760593144,109.404773720832,6.89296200099562,1.3857770012188,1.54729984198094,1.3642593826066,1.34107816549449,1.2858371984938
ACI_curve1_08292012-tnf-tr9-sun-aci.csv,1,0.993409881940435,0.356053708674899,11,29.8918181818182,29.9965527419247,25.0264456184283,0.367351769665389,55.6976232164268,21.0143345440358,21.824290868083,16.3591488541897,0.271450212663113,41.8503831425701,16.4192007176331,1.37445715525141,1.52981342987284,1.35329335741319,1.33087486981144,1.27986342973857
ACI_curve1_08302012-tnf-tr118-dappled-aci.csv,1,0.998454890691055,0.22678231284156,14,29.9078571428571,7.07366480863383,46.9123976340708,1.13753808614208,65.8749702055082,18.2243842768055,5.1414122953462,30.623383700007,0.839751513151243,49.4518703056931,14.23121033608,1.37582135068931,1.53191424218938,1.35461272570188,1.33210270508059,1.28059271463382
ACI_curve1_09042012-tnf-tr11-sun-aci.csv,1,0.998157935388156,0.256609739465982,14,30.7828571428571,29.9234398954781,39.6120776386294,1.21171443269375,71.5005337773305,20.929722490412,20.6237897462468,23.9979835321038,0.848330780735673,51.0490037534307,15.8961509653379,1.45091858788581,1.65064192104464,1.42835136978402,1.40062544849419,1.31665348020725
ACI_curve1_09052012-tnf-tr11-shade-aci.csv,1,0.996454929664093,0.217455284873345,11,30.6690909090909,1.57285787843888,17.834038590031,1.09706419616242,46.2405706905883,9.03798355886378,1.09142647510403,10.9094100598469,0.773361417372832,33.2297014459201,6.88654943606412,1.44110291835184,1.63473904566764,1.41856597900789,1.39154336868909,1.31241104747362
ACI_curve1_09082012-tnf-tr504-sun-aci.csv,1,0.992942923729384,0.33009093413515,14,29.9385714285714,29.98869732714,22.1875386824974,0.290998518813952,49.5708896393865,18.2099112758114,21.7556063953631,14.4455323524919,0.214420019268253,37.1468677303987,14.2044873662819,1.37843536889561,1.5359446880246,1.35714248980593,1.33445678379017,1.28198299637602
ACI_curve1_09122012-tnf-tr504-shade-aci.csv,1,0.990599654881125,0.451175955541674,12,29.8816666666667,29.9567950765235,26.3820422921355,0.86529938578991,50.247377219523,8.27362566858882,21.8090605031461,17.2602543510319,0.639797184385674,37.7771920259975,6.46679788838216,1.37359401943069,1.5284851402296,1.35245888370197,1.33009825571323,1.27940068816016
ACI_curve1_09142012-tnf-tr-caferana-aci.csv,1,0.989048276266757,0.325497893572903,13,29.7923076923077,29.9586820905064,26.4008563713604,0.942120519162126,40.0889057468613,13.3024404085953,21.9315790577325,17.4051841197397,0.700392004624614,30.2951186164955,10.4309206376856,1.36600661592325,1.51683867230215,1.34513317248256,1.32327937891067,1.27528919744009
ACI_curve1_09272012-tnf-tr11-shade-aci-h1.csv,1,0.990403563422137,0.793832750457156,10,31.305,29.9688153108138,64.1163845449747,6.0609084320053,115.178003184638,12.8403525551082,20.0331021996614,37.1586335703421,4.11177109825625,79.8192673711706,9.6240906507308,1.49596477930015,1.7254774566347,1.47403838569118,1.4429849706468,1.33418865439855
ACI_curve1_10252012-tnf-caferana-aci-b2.csv,1,0.998946180223357,0.160841234300288,15,31.498,1.80285400265072,34.9437446662834,1.06653901549678,58.8633563612646,4.22954854213161,1.19193018175604,19.9232002305089,0.715196838576646,40.3470231047771,3.15682747659912,1.51255000523153,1.75392227463403,1.49125241887164,1.45892687568058,1.33980984817331
ACI_curve1_11262012-tnf-tr9-curves-b2.csv,1,0.998960029279365,0.237450998967396,14,32.4342857142857,0.741082538224276,141.75524359833,3.75059878140434,99.4875907603972,11.7064291271178,0.465728337415717,74.6805159568811,2.37781576583005,64.6654463690996,8.60981070329124,1.59123351251606,1.89815565388134,1.57732942783104,1.53849693068751,1.35966161516685
ACI_curve1_11302012-tnf-tower macarunduba-curves-b2.csv,1,0.979766029708156,1.37202592730291,15,32.434,22.1162163795296,106.071922441332,2.30304492194715,133.577763588159,8.26475875660498,13.8989908211202,55.8829158452707,1.46011619339258,86.8249516646336,6.07855899688337,1.59121022987676,1.89811001872246,1.57730249987573,1.53847207544797,1.35965757029627
